id,productName,category,fullPrice,salePrice,availability,supplier
1,Scotch,6,46.5,35.26,1,1
2,Post-it,6,99.28,31.56,1,1
3,Scotch-brite,6,49.35,42.54,1,1
4,Command,6,44.3,36.36,1,1
5,Futuro,6,78.86,72.22,1,1
6,Nexcare,6,97.84,33.78,1,1
7,3m,6,49.68,48.11,0,1
8,O-cel-o,6,79.99,26.32,1,1
9,Scotchgard,6,54.52,10.3,1,1
10,Scotch-gard,6,97.48,12.98,1,1
11,Tartan,6,60.6,44.15,0,1
12,Abbott,5,58.35,20.8,1,2
13,Blink-n-clean,5,14.21,12.35,0,2
14,Revitalens,5,17.32,5.52,0,2
15,Oxysept,5,69.86,48.92,0,2
16,Eas,5,68.14,23.37,0,3
17,Ensure,5,9.62,3.25,0,3
18,Zone Perfect,5,56.29,0.7,1,3
19,Pediasure,5,88.55,29.33,1,3
20,Glucerna,5,92.23,57.21,1,3
21,Similac,5,9.53,4.1,1,3
22,Blink,5,90.19,86.38,1,3
23,Pedialyte,5,94.72,5.4,0,3
24,Similac Advance,5,26.92,12.13,0,3
25,Perfectly Simple,5,99.38,15.65,0,3
26,Similac Sensitive,5,45.25,1.17,0,3
27,Juven,5,89.11,65.47,0,3
28,Kidz Zone Perfect,5,96.16,74.47,1,3
29,Similac Advance Earlyshield,5,50.5,45.51,0,3
30,Similac Alimentum,5,51.93,25.68,1,3
31,Weber,3,95.48,85.93,1,4
32,Spice Islands,3,70.55,26.36,0,4
33,Patak's,3,81.66,9.07,1,4
34,Fleishmann's,3,43.86,32.88,0,4
35,Mazola,3,94.06,11.92,0,4
36,Dromedary,3,95.23,46.35,1,4
37,Argo,3,47.64,23.2,1,4
38,Karo,3,97.92,50.07,0,4
39,Henri's,3,96.27,86.56,0,4
40,Acme Smoked Fish,3,86.01,17.58,0,5
41,Blue Hill Bay,3,72.06,18.17,1,5
42,Marco Polo,7,27.37,4.6,0,6
43,Kras,7,14.74,5.24,1,6
44,Radenska,7,61.24,55.77,1,6
45,Kelemen,7,97.94,40.8,0,6
46,Cantu,2,44.96,31.96,0,7
47,Dr. Teal's,2,94.66,78.29,0,7
48,Dr Teal's,2,27.41,25.86,1,7
49,Ahold,3,42.55,26.44,0,8
50,Careone,3,98.87,44.97,0,8
51,Nature's Promise,3,61.85,32.59,0,8
52,Smart Living,3,76.84,18.3,1,8
53,Companion,3,77.29,68.19,1,8
54,Guaranteed Value,3,37.09,27.74,1,8
55,Simply Enjoy,3,92.57,62.46,1,8
56,Cottontails,3,87.47,15.47,1,8
57,Giant,3,98.55,24.04,0,8
58,Pure Power,3,76.68,69.31,0,8
59,Acadia,3,72.46,40.75,1,8
60,Stop & Shop,3,51.15,8.7,1,8
61,"S&s Brands, Inc.",3,81.77,25.18,0,8
62,Bakery,3,91.53,66.85,0,8
63,Pure Softness,3,80.61,78.4,0,8
64,Javana,3,39.4,1.73,1,8
65,Jewel,3,98.73,35.85,1,8
66,Micasa,3,91.85,69.15,0,8
67,Mi Casa,3,24.01,16.11,0,8
68,Apple O's,3,28.36,9.7,0,8
69,Cocoa Magic,3,81.82,66.44,1,8
70,Aidells,3,94.54,19.14,0,9
71,Chef Bruce Aidells,3,87.55,49.69,0,9
72,Motions,1,71.16,54.02,1,10
73,Tresemme,2,62.44,41,1,10
74,Simple,5,93.78,75.6,1,10
75,Noxzema,5,63.6,52.33,1,10
76,Consort,6,67.21,48.48,0,10
77,Static Guard,6,74.65,74.53,0,10
78,Soft & Beautiful,6,47.77,5.92,1,10
79,Molly Mcbutter,6,44.64,36,0,10
80,Opti-free,5,54.7,21.25,0,11
81,Systane,5,67.27,23.65,0,11
82,Genteal,5,46.51,8.66,1,11
83,Zaditor,5,44.62,39.2,1,11
84,Opti-choice,5,98.9,49.47,0,11
85,I-caps,5,76.32,42.12,0,11
86,Tears Naturale Ii,5,62.11,43.16,0,11
87,Naphcon A,5,22.55,9.89,1,11
88,Mrs Dash,3,36.94,26.39,0,12
89,Polaner,3,78.59,5.76,1,12
90,Maple Grove Farms Of Vermont,3,53.71,16.39,0,12
91,Ortega,3,76.53,74.85,1,12
92,Vermont,3,39.99,31.6,1,12
93,Emeril's,3,92.34,33.2,1,12
94,B&m,3,95.71,83.73,0,12
95,B&g,3,71.27,52.11,1,12
96,Wright's,3,60.87,58.55,1,12
97,Accent,3,85.76,83.23,1,12
98,Joan Of Arc,3,11.21,5.32,0,12
99,Crock-pot,3,87.72,61.91,0,12
100,Maple Grove Farms,3,53.58,47.29,0,12
